Epoch,LR,TrainLoss,MeanDice,Dice_WT,Dice_TC,Dice_ET
1,3.000000e-05,1.447244,0.0495,0.0660,0.0147,0.0678
2,6.000000e-05,1.362567,0.1104,0.0709,0.0207,0.2396
3,9.000000e-05,1.331373,0.1854,0.1220,0.0570,0.3771
4,1.200000e-04,1.309715,0.2562,0.2083,0.1329,0.4274
5,1.500000e-04,1.284919,0.3225,0.2979,0.2015,0.4681
6,1.800000e-04,1.262400,0.4090,0.4134,0.2938,0.5199
7,2.100000e-04,1.236801,0.4971,0.5222,0.4091,0.5599
8,2.400000e-04,1.195637,0.5818,0.6134,0.5391,0.5930
9,2.700000e-04,1.144818,0.6467,0.6729,0.6528,0.6143
10,3.000000e-04,1.081690,0.6763,0.7000,0.7016,0.6274
11,3.000000e-04,0.996846,0.6959,0.7205,0.7245,0.6428
12,2.999101e-04,0.895220,0.7145,0.7429,0.7406,0.6600
13,2.996407e-04,0.798250,0.7343,0.7654,0.7540,0.6835
14,2.991920e-04,0.719288,0.7501,0.7864,0.7630,0.7009
15,2.985645e-04,0.641126,0.7653,0.8063,0.7731,0.7166
16,2.977591e-04,0.586316,0.7778,0.8263,0.7800,0.7271
17,2.967768e-04,0.539127,0.7884,0.8423,0.7872,0.7357
18,2.956186e-04,0.502324,0.7969,0.8533,0.7945,0.7429
19,2.942861e-04,0.495101,0.8036,0.8619,0.8004,0.7484
20,2.927808e-04,0.465311,0.8090,0.8691,0.8055,0.7525
21,2.911047e-04,0.460031,0.8133,0.8749,0.8097,0.7553
22,2.892596e-04,0.448425,0.8177,0.8807,0.8143,0.7580
23,2.872480e-04,0.435768,0.8208,0.8847,0.8183,0.7595
24,2.850721e-04,0.429519,0.8236,0.8881,0.8209,0.7617
25,2.827348e-04,0.425099,0.8259,0.8909,0.8232,0.7635
26,2.802387e-04,0.415657,0.8274,0.8927,0.8254,0.7641
27,2.775871e-04,0.411899,0.8288,0.8941,0.8267,0.7656
28,2.747830e-04,0.402802,0.8303,0.8954,0.8278,0.7677
29,2.718300e-04,0.406719,0.8317,0.8968,0.8294,0.7690
30,2.687316e-04,0.403135,0.8327,0.8978,0.8297,0.7707
31,2.654916e-04,0.393802,0.8335,0.8986,0.8299,0.7720
32,2.621139e-04,0.399387,0.8348,0.8997,0.8315,0.7733
33,2.586026e-04,0.387937,0.8366,0.9008,0.8329,0.7760
34,2.549621e-04,0.388714,0.8365,0.9014,0.8318,0.7763
35,2.511968e-04,0.377356,0.8372,0.9016,0.8323,0.7778
36,2.473112e-04,0.383465,0.8373,0.9017,0.8309,0.7793
37,2.433101e-04,0.375661,0.8374,0.9020,0.8303,0.7799
38,2.391983e-04,0.373110,0.8378,0.9025,0.8307,0.7802
39,2.349810e-04,0.370610,0.8377,0.9024,0.8300,0.7806
40,2.306631e-04,0.368131,0.8381,0.9033,0.8301,0.7808
41,2.262500e-04,0.362076,0.8386,0.9043,0.8304,0.7811
42,2.217471e-04,0.379181,0.8389,0.9046,0.8307,0.7815
43,2.171597e-04,0.361816,0.8390,0.9052,0.8307,0.7810
44,2.124937e-04,0.358760,0.8389,0.9056,0.8302,0.7809
45,2.077545e-04,0.365142,0.8391,0.9060,0.8303,0.7810
46,2.029480e-04,0.354264,0.8393,0.9070,0.8303,0.7806
47,1.980800e-04,0.355271,0.8392,0.9069,0.8301,0.7807
48,1.931565e-04,0.350231,0.8395,0.9071,0.8308,0.7807
49,1.881835e-04,0.358947,0.8399,0.9074,0.8322,0.7802
50,1.831670e-04,0.353271,0.8398,0.9077,0.8318,0.7799
51,1.781131e-04,0.352479,0.8400,0.9077,0.8322,0.7802
52,1.730280e-04,0.353059,0.8398,0.9080,0.8319,0.7795
53,1.679179e-04,0.351107,0.8400,0.9085,0.8320,0.7795
54,1.627891e-04,0.345029,0.8403,0.9087,0.8320,0.7801
55,1.576477e-04,0.346616,0.8403,0.9086,0.8323,0.7802
56,1.525000e-04,0.341801,0.8406,0.9086,0.8328,0.7804
57,1.473523e-04,0.341896,0.8407,0.9090,0.8329,0.7801
58,1.422109e-04,0.340870,0.8405,0.9088,0.8324,0.7803
59,1.370821e-04,0.335865,0.8399,0.9086,0.8316,0.7796
60,1.319720e-04,0.341888,0.8402,0.9083,0.8323,0.7801
61,1.268869e-04,0.336494,0.8402,0.9082,0.8327,0.7797
62,1.218330e-04,0.339577,0.8407,0.9079,0.8341,0.7799
63,1.168165e-04,0.332427,0.8404,0.9078,0.8339,0.7795
64,1.118435e-04,0.337166,0.8398,0.9076,0.8330,0.7787
65,1.069200e-04,0.335384,0.8394,0.9076,0.8326,0.7782
66,1.020520e-04,0.329775,0.8391,0.9076,0.8321,0.7776
67,9.724553e-05,0.330082,0.8387,0.9077,0.8308,0.7775
68,9.250635e-05,0.327958,0.8383,0.9080,0.8304,0.7766
69,8.784026e-05,0.328149,0.8383,0.9081,0.8302,0.7765
70,8.325294e-05,0.326639,0.8378,0.9081,0.8295,0.7758
71,7.875000e-05,0.327228,0.8372,0.9084,0.8285,0.7747
72,7.433691e-05,0.327096,0.8371,0.9085,0.8279,0.7751
73,7.001905e-05,0.324878,0.8368,0.9084,0.8269,0.7753
74,6.580168e-05,0.316584,0.8366,0.9083,0.8263,0.7752
75,6.168993e-05,0.321262,0.8364,0.9083,0.8258,0.7751
76,5.768883e-05,0.316786,0.8365,0.9084,0.8260,0.7751
77,5.380324e-05,0.316608,0.8361,0.9084,0.8252,0.7748
