Epoch,LR,TrainLoss,MeanDice,Dice_WT,Dice_TC,Dice_ET
28,2.747830e-04,0.435269,0.8272,0.8723,0.8097,0.7997
29,2.718300e-04,0.420288,0.8291,0.8741,0.8116,0.8015
30,2.687316e-04,0.425291,0.8311,0.8756,0.8150,0.8027
31,2.654916e-04,0.425359,0.8321,0.8770,0.8160,0.8034
32,2.621139e-04,0.415637,0.8334,0.8786,0.8173,0.8041
33,2.586026e-04,0.407041,0.8348,0.8804,0.8194,0.8046
34,2.549621e-04,0.402201,0.8355,0.8804,0.8209,0.8053
35,2.511968e-04,0.405588,0.8361,0.8803,0.8219,0.8060
36,2.473112e-04,0.399945,0.8372,0.8817,0.8234,0.8065
37,2.433101e-04,0.401596,0.8377,0.8820,0.8244,0.8068
38,2.391983e-04,0.394739,0.8395,0.8833,0.8273,0.8081
39,2.349810e-04,0.395119,0.8404,0.8838,0.8282,0.8092
40,2.306631e-04,0.390891,0.8417,0.8847,0.8301,0.8103
41,2.262500e-04,0.393409,0.8425,0.8862,0.8308,0.8106
42,2.217471e-04,0.384359,0.8429,0.8864,0.8316,0.8105
43,2.171597e-04,0.380533,0.8433,0.8866,0.8323,0.8110
44,2.124937e-04,0.389782,0.8429,0.8860,0.8316,0.8113
45,2.077545e-04,0.383414,0.8419,0.8855,0.8291,0.8110
46,2.029480e-04,0.383700,0.8417,0.8856,0.8288,0.8108
47,1.980800e-04,0.383683,0.8425,0.8863,0.8302,0.8112
48,1.931565e-04,0.373791,0.8430,0.8870,0.8305,0.8116
49,1.881835e-04,0.372088,0.8423,0.8853,0.8305,0.8112
50,1.831670e-04,0.377806,0.8424,0.8851,0.8308,0.8113
51,1.781131e-04,0.376654,0.8430,0.8854,0.8314,0.8123
52,1.730280e-04,0.372608,0.8434,0.8856,0.8316,0.8129
53,1.679179e-04,0.363963,0.8442,0.8862,0.8329,0.8135
54,1.627891e-04,0.362734,0.8445,0.8858,0.8340,0.8138
55,1.576477e-04,0.360597,0.8463,0.8868,0.8373,0.8149
56,1.525000e-04,0.368496,0.8463,0.8871,0.8368,0.8150
57,1.473523e-04,0.362895,0.8462,0.8870,0.8361,0.8154
58,1.422109e-04,0.356623,0.8470,0.8878,0.8375,0.8155
59,1.370821e-04,0.358019,0.8483,0.8887,0.8388,0.8174
60,1.319720e-04,0.351666,0.8481,0.8878,0.8386,0.8180
61,1.268869e-04,0.356544,0.8494,0.8885,0.8404,0.8193
62,1.218330e-04,0.352698,0.8498,0.8895,0.8407,0.8194
63,1.168165e-04,0.348861,0.8507,0.8899,0.8416,0.8205
64,1.118435e-04,0.351673,0.8515,0.8907,0.8428,0.8211
65,1.069200e-04,0.347283,0.8543,0.8939,0.8471,0.8219
66,1.020520e-04,0.347919,0.8548,0.8943,0.8480,0.8222
67,9.724553e-05,0.348101,0.8552,0.8946,0.8483,0.8227
68,9.250635e-05,0.343694,0.8555,0.8946,0.8484,0.8234
69,8.784026e-05,0.340254,0.8556,0.8944,0.8485,0.8239
70,8.325294e-05,0.339894,0.8550,0.8934,0.8482,0.8233
71,7.875000e-05,0.340846,0.8549,0.8927,0.8484,0.8235
72,7.433691e-05,0.340563,0.8558,0.8926,0.8494,0.8253
73,7.001905e-05,0.336483,0.8558,0.8924,0.8498,0.8251
74,6.580168e-05,0.337382,0.8551,0.8910,0.8496,0.8249
75,6.168993e-05,0.334806,0.8557,0.8913,0.8503,0.8253
76,5.768883e-05,0.335348,0.8544,0.8900,0.8485,0.8247
77,5.380324e-05,0.333365,0.8538,0.8892,0.8476,0.8247
78,5.003789e-05,0.334169,0.8547,0.8896,0.8494,0.8250
79,4.639738e-05,0.331325,0.8557,0.8903,0.8508,0.8259
80,4.288614e-05,0.330391,0.8562,0.8909,0.8513,0.8264
81,3.950844e-05,0.332181,0.8563,0.8907,0.8515,0.8267
82,3.626841e-05,0.329674,0.8568,0.8912,0.8518,0.8273
83,3.316999e-05,0.330950,0.8565,0.8911,0.8511,0.8273
84,3.021696e-05,0.328085,0.8562,0.8908,0.8505,0.8274
85,2.741291e-05,0.326113,0.8561,0.8904,0.8503,0.8275
86,2.476125e-05,0.326533,0.8562,0.8904,0.8504,0.8277
87,2.226523e-05,0.328051,0.8561,0.8905,0.8500,0.8276
88,1.992788e-05,0.325982,0.8561,0.8907,0.8500,0.8275
89,1.775204e-05,0.325667,0.8560,0.8909,0.8500,0.8271
90,1.574038e-05,0.326797,0.8563,0.8912,0.8503,0.8273
91,1.389534e-05,0.326550,0.8566,0.8918,0.8506,0.8273
92,1.221916e-05,0.324971,0.8570,0.8922,0.8513,0.8275
93,1.071390e-05,0.327047,0.8572,0.8925,0.8517,0.8275
94,9.381380e-06,0.323388,0.8574,0.8927,0.8520,0.8275
95,8.223229e-06,0.328041,0.8575,0.8928,0.8522,0.8274
96,7.240856e-06,0.324983,0.8575,0.8928,0.8522,0.8274
97,6.435460e-06,0.325921,0.8575,0.8929,0.8522,0.8275
98,5.808020e-06,0.325097,0.8574,0.8929,0.8520,0.8274
99,5.359303e-06,0.325258,0.8572,0.8926,0.8516,0.8274
100,5.089853e-06,0.324580,0.8571,0.8923,0.8515,0.8275
