Epoch,LR,TrainLoss,MeanDice,Dice_WT,Dice_TC,Dice_ET
1,3.000000e-05,1.490724,0.0434,0.0592,0.0199,0.0510
2,6.000000e-05,1.431260,0.0439,0.0594,0.0176,0.0547
3,9.000000e-05,1.405031,0.0485,0.0599,0.0172,0.0682
4,1.200000e-04,1.387445,0.0542,0.0639,0.0197,0.0788
5,1.500000e-04,1.370063,0.0654,0.0846,0.0287,0.0830
6,1.800000e-04,1.353866,0.0793,0.1049,0.0371,0.0959
7,2.100000e-04,1.324172,0.1165,0.1288,0.0485,0.1724
8,2.400000e-04,1.294675,0.2045,0.1946,0.0817,0.3372
9,2.700000e-04,1.256870,0.3334,0.3558,0.1938,0.4506
10,3.000000e-04,1.205914,0.4838,0.5310,0.4024,0.5179
11,3.000000e-04,1.144055,0.5678,0.6123,0.5262,0.5649
12,2.999101e-04,1.061330,0.6097,0.6485,0.5815,0.5990
13,2.996407e-04,0.966411,0.6299,0.6681,0.6047,0.6168
14,2.991920e-04,0.855769,0.6565,0.6956,0.6307,0.6432
15,2.985645e-04,0.756750,0.6813,0.7236,0.6521,0.6681
16,2.977591e-04,0.677134,0.7050,0.7494,0.6762,0.6895
17,2.967768e-04,0.615159,0.7295,0.7729,0.7032,0.7123
18,2.956186e-04,0.579603,0.7502,0.7939,0.7240,0.7328
19,2.942861e-04,0.549093,0.7664,0.8094,0.7424,0.7475
20,2.927808e-04,0.511183,0.7797,0.8227,0.7558,0.7604
21,2.911047e-04,0.503205,0.7923,0.8361,0.7695,0.7714
22,2.892596e-04,0.477640,0.8023,0.8458,0.7813,0.7798
23,2.872480e-04,0.466586,0.8096,0.8534,0.7901,0.7852
24,2.850721e-04,0.460314,0.8152,0.8595,0.7971,0.7890
25,2.827348e-04,0.446699,0.8197,0.8647,0.8017,0.7927
26,2.802387e-04,0.441140,0.8230,0.8678,0.8055,0.7958
27,2.775871e-04,0.439941,0.8255,0.8705,0.8079,0.7982
