Epoch,LR,TrainLoss,MeanDice,Dice_WT,Dice_TC,Dice_ET
1,3.000000e-05,1.455551,0.0457,0.0625,0.0288,0.0458
2,6.000000e-05,1.385783,0.0531,0.0712,0.0325,0.0555
3,9.000000e-05,1.354043,0.0871,0.1257,0.0685,0.0673
4,1.200000e-04,1.334511,0.1195,0.1715,0.0989,0.0881
5,1.500000e-04,1.315941,0.1691,0.2327,0.1433,0.1313
6,1.800000e-04,1.295045,0.2434,0.3181,0.2169,0.1953
7,2.100000e-04,1.269156,0.3397,0.4176,0.3218,0.2797
8,2.400000e-04,1.238378,0.4445,0.5075,0.4424,0.3836
9,2.700000e-04,1.203630,0.5284,0.5704,0.5415,0.4731
10,3.000000e-04,1.153074,0.5870,0.6135,0.6089,0.5386
11,3.000000e-04,1.076522,0.6286,0.6482,0.6525,0.5851
12,2.999101e-04,0.991653,0.6438,0.6619,0.6653,0.6041
13,2.996407e-04,0.885438,0.6688,0.6915,0.6847,0.6303
14,2.991920e-04,0.779725,0.6986,0.7243,0.7103,0.6612
15,2.985645e-04,0.697050,0.7187,0.7489,0.7238,0.6833
16,2.977591e-04,0.634943,0.7347,0.7696,0.7329,0.7016
17,2.967768e-04,0.576190,0.7522,0.7911,0.7453,0.7203
18,2.956186e-04,0.557495,0.7647,0.8067,0.7545,0.7330
19,2.942861e-04,0.535839,0.7735,0.8172,0.7610,0.7425
20,2.927808e-04,0.503958,0.7831,0.8296,0.7678,0.7519
21,2.911047e-04,0.482271,0.7910,0.8405,0.7733,0.7591
22,2.892596e-04,0.471352,0.7970,0.8477,0.7780,0.7654
23,2.872480e-04,0.453317,0.8024,0.8531,0.7829,0.7711
24,2.850721e-04,0.453897,0.8072,0.8598,0.7867,0.7751
25,2.827348e-04,0.448358,0.8115,0.8650,0.7908,0.7788
26,2.802387e-04,0.435055,0.8142,0.8676,0.7935,0.7814
27,2.775871e-04,0.431609,0.8166,0.8703,0.7951,0.7844
28,2.747830e-04,0.425485,0.8183,0.8723,0.7967,0.7858
29,2.718300e-04,0.428419,0.8190,0.8738,0.7974,0.7859
30,2.687316e-04,0.417965,0.8205,0.8771,0.7986,0.7858
31,2.654916e-04,0.411382,0.8217,0.8792,0.7996,0.7864
32,2.621139e-04,0.404382,0.8229,0.8805,0.8008,0.7874
33,2.586026e-04,0.407655,0.8245,0.8823,0.8020,0.7892
34,2.549621e-04,0.408805,0.8248,0.8833,0.8026,0.7886
35,2.511968e-04,0.388286,0.8256,0.8845,0.8042,0.7882
