Epoch,LR,TrainLoss,MeanDice,Dice_WT,Dice_TC,Dice_ET
36,2.473112e-04,0.391454,0.8269,0.8859,0.8059,0.7889
37,2.433101e-04,0.388899,0.8276,0.8866,0.8070,0.7893
38,2.391983e-04,0.387757,0.8282,0.8876,0.8080,0.7890
39,2.349810e-04,0.384472,0.8294,0.8893,0.8098,0.7891
40,2.306631e-04,0.381925,0.8297,0.8903,0.8104,0.7883
41,2.262500e-04,0.384556,0.8306,0.8905,0.8111,0.7903
42,2.217471e-04,0.377951,0.8312,0.8905,0.8115,0.7915
43,2.171597e-04,0.374530,0.8317,0.8912,0.8122,0.7916
44,2.124937e-04,0.373642,0.8334,0.8917,0.8141,0.7942
45,2.077545e-04,0.373421,0.8345,0.8921,0.8157,0.7956
46,2.029480e-04,0.369338,0.8359,0.8927,0.8177,0.7973
47,1.980800e-04,0.366903,0.8364,0.8928,0.8189,0.7975
48,1.931565e-04,0.366655,0.8368,0.8932,0.8201,0.7969
49,1.881835e-04,0.364516,0.8368,0.8936,0.8207,0.7959
50,1.831670e-04,0.364417,0.8360,0.8935,0.8200,0.7944
51,1.781131e-04,0.363058,0.8361,0.8937,0.8204,0.7943
52,1.730280e-04,0.360697,0.8364,0.8946,0.8212,0.7935
53,1.679179e-04,0.359696,0.8363,0.8945,0.8208,0.7937
54,1.627891e-04,0.358917,0.8362,0.8942,0.8202,0.7942
55,1.576477e-04,0.358260,0.8365,0.8944,0.8203,0.7948
56,1.525000e-04,0.354179,0.8364,0.8945,0.8209,0.7939
57,1.473523e-04,0.356478,0.8377,0.8954,0.8216,0.7962
58,1.422109e-04,0.352344,0.8380,0.8955,0.8216,0.7969
59,1.370821e-04,0.350643,0.8383,0.8954,0.8218,0.7975
60,1.319720e-04,0.349959,0.8386,0.8958,0.8223,0.7977
61,1.268869e-04,0.347805,0.8387,0.8962,0.8224,0.7975
62,1.218330e-04,0.344181,0.8388,0.8965,0.8228,0.7972
63,1.168165e-04,0.344613,0.8385,0.8966,0.8232,0.7959
64,1.118435e-04,0.344203,0.8389,0.8966,0.8240,0.7962
65,1.069200e-04,0.339350,0.8391,0.8968,0.8241,0.7965
66,1.020520e-04,0.336751,0.8390,0.8969,0.8232,0.7970
67,9.724553e-05,0.339558,0.8393,0.8971,0.8232,0.7976
68,9.250635e-05,0.337310,0.8390,0.8971,0.8228,0.7972
69,8.784026e-05,0.337042,0.8388,0.8972,0.8220,0.7973
70,8.325294e-05,0.336630,0.8389,0.8975,0.8220,0.7973
71,7.875000e-05,0.337472,0.8390,0.8974,0.8219,0.7977
72,7.433691e-05,0.334811,0.8390,0.8975,0.8220,0.7976
73,7.001905e-05,0.332274,0.8392,0.8979,0.8224,0.7974
74,6.580168e-05,0.328969,0.8390,0.8983,0.8225,0.7964
75,6.168993e-05,0.330896,0.8396,0.8981,0.8229,0.7976
76,5.768883e-05,0.328573,0.8399,0.8982,0.8239,0.7977
77,5.380324e-05,0.332910,0.8404,0.8983,0.8239,0.7990
78,5.003789e-05,0.327418,0.8398,0.8982,0.8231,0.7982
79,4.639738e-05,0.326564,0.8399,0.8982,0.8234,0.7982
80,4.288614e-05,0.327748,0.8400,0.8984,0.8233,0.7982
81,3.950844e-05,0.327112,0.8400,0.8988,0.8228,0.7983
82,3.626841e-05,0.327794,0.8397,0.8990,0.8224,0.7976
83,3.316999e-05,0.321941,0.8395,0.8992,0.8222,0.7971
84,3.021696e-05,0.323992,0.8395,0.8991,0.8224,0.7969
85,2.741291e-05,0.324294,0.8397,0.8990,0.8226,0.7974
86,2.476125e-05,0.322045,0.8397,0.8995,0.8224,0.7970
87,2.226523e-05,0.321857,0.8396,0.8997,0.8219,0.7973
88,1.992788e-05,0.324170,0.8396,0.8996,0.8223,0.7970
89,1.775204e-05,0.322323,0.8397,0.8996,0.8223,0.7973
90,1.574038e-05,0.320700,0.8398,0.8996,0.8223,0.7976
91,1.389534e-05,0.320593,0.8399,0.8998,0.8221,0.7976
92,1.221916e-05,0.320384,0.8397,0.8996,0.8221,0.7973
93,1.071390e-05,0.318772,0.8395,0.8994,0.8220,0.7969
94,9.381380e-06,0.318715,0.8395,0.8994,0.8223,0.7970
95,8.223229e-06,0.321273,0.8396,0.8995,0.8222,0.7971
96,7.240856e-06,0.318397,0.8396,0.8996,0.8223,0.7970
97,6.435460e-06,0.319789,0.8395,0.8995,0.8222,0.7969
