Epoch,LR,TrainLoss,MeanDice,Dice_WT,Dice_TC,Dice_ET
1,3.000000e-05,1.477965,0.0212,0.0446,0.0155,0.0037
2,6.000000e-05,1.394878,0.0368,0.0588,0.0222,0.0294
3,9.000000e-05,1.352473,0.0736,0.0875,0.0351,0.0982
4,1.200000e-04,1.329380,0.1106,0.1186,0.0470,0.1662
5,1.500000e-04,1.304854,0.1502,0.1421,0.0571,0.2515
6,1.800000e-04,1.279221,0.2047,0.1826,0.0763,0.3554
7,2.100000e-04,1.247958,0.2758,0.2644,0.1216,0.4414
8,2.400000e-04,1.204771,0.3702,0.3950,0.2131,0.5026
9,2.700000e-04,1.152305,0.4711,0.5280,0.3404,0.5448
10,3.000000e-04,1.071294,0.5610,0.6313,0.4660,0.5856
11,3.000000e-04,0.978185,0.6338,0.7082,0.5782,0.6151
12,2.999101e-04,0.871768,0.6805,0.7528,0.6449,0.6438
13,2.996407e-04,0.787463,0.7117,0.7803,0.6867,0.6682
14,2.991920e-04,0.695703,0.7379,0.8033,0.7167,0.6937
15,2.985645e-04,0.649396,0.7538,0.8160,0.7353,0.7101
16,2.977591e-04,0.590478,0.7718,0.8336,0.7548,0.7271
17,2.967768e-04,0.554061,0.7869,0.8471,0.7718,0.7417
18,2.956186e-04,0.531269,0.7985,0.8569,0.7856,0.7531
19,2.942861e-04,0.506212,0.8078,0.8650,0.7960,0.7623
20,2.927808e-04,0.490620,0.8156,0.8721,0.8055,0.7694
21,2.911047e-04,0.481681,0.8226,0.8794,0.8134,0.7751
22,2.892596e-04,0.472573,0.8288,0.8831,0.8226,0.7806
23,2.872480e-04,0.449151,0.8332,0.8865,0.8285,0.7846
24,2.850721e-04,0.446512,0.8365,0.8892,0.8322,0.7881
25,2.827348e-04,0.445621,0.8397,0.8916,0.8372,0.7903
26,2.802387e-04,0.438931,0.8425,0.8929,0.8414,0.7931
27,2.775871e-04,0.427317,0.8449,0.8943,0.8449,0.7954
28,2.747830e-04,0.422954,0.8462,0.8956,0.8465,0.7966
29,2.718300e-04,0.423277,0.8479,0.8975,0.8483,0.7980
30,2.687316e-04,0.420649,0.8498,0.8992,0.8505,0.7996
31,2.654916e-04,0.403733,0.8512,0.9006,0.8521,0.8009
32,2.621139e-04,0.415261,0.8523,0.9013,0.8535,0.8020
33,2.586026e-04,0.409322,0.8537,0.9025,0.8552,0.8035
34,2.549621e-04,0.403526,0.8544,0.9029,0.8559,0.8042
35,2.511968e-04,0.397726,0.8552,0.9040,0.8567,0.8047
36,2.473112e-04,0.398823,0.8557,0.9046,0.8573,0.8051
37,2.433101e-04,0.401780,0.8563,0.9050,0.8578,0.8059
38,2.391983e-04,0.389732,0.8569,0.9056,0.8587,0.8066
39,2.349810e-04,0.393495,0.8574,0.9060,0.8589,0.8073
40,2.306631e-04,0.386267,0.8577,0.9060,0.8590,0.8081
41,2.262500e-04,0.385449,0.8580,0.9059,0.8595,0.8086
42,2.217471e-04,0.382083,0.8587,0.9061,0.8608,0.8093
43,2.171597e-04,0.379998,0.8593,0.9066,0.8615,0.8097
44,2.124937e-04,0.375542,0.8598,0.9068,0.8626,0.8101
45,2.077545e-04,0.372879,0.8602,0.9070,0.8633,0.8103
46,2.029480e-04,0.375038,0.8606,0.9072,0.8637,0.8109
47,1.980800e-04,0.377320,0.8607,0.9074,0.8637,0.8110
48,1.931565e-04,0.375684,0.8613,0.9078,0.8644,0.8116
49,1.881835e-04,0.366790,0.8614,0.9078,0.8643,0.8120
50,1.831670e-04,0.365156,0.8617,0.9077,0.8646,0.8127
