Epoch,LR,TrainLoss,MeanDice,Dice_WT,Dice_TC,Dice_ET
51,1.781131e-04,0.369579,0.8621,0.9080,0.8649,0.8134
52,1.730280e-04,0.368170,0.8622,0.9080,0.8651,0.8136
53,1.679179e-04,0.360044,0.8626,0.9080,0.8657,0.8140
54,1.627891e-04,0.360943,0.8629,0.9083,0.8660,0.8145
55,1.576477e-04,0.359158,0.8627,0.9082,0.8655,0.8145
56,1.525000e-04,0.358924,0.8628,0.9082,0.8656,0.8145
57,1.473523e-04,0.358135,0.8628,0.9081,0.8660,0.8143
58,1.422109e-04,0.355403,0.8629,0.9082,0.8660,0.8146
59,1.370821e-04,0.352764,0.8631,0.9081,0.8661,0.8150
60,1.319720e-04,0.351452,0.8633,0.9082,0.8662,0.8154
61,1.268869e-04,0.351375,0.8636,0.9083,0.8670,0.8156
62,1.218330e-04,0.342886,0.8637,0.9085,0.8668,0.8159
63,1.168165e-04,0.353985,0.8635,0.9083,0.8663,0.8160
64,1.118435e-04,0.347560,0.8636,0.9083,0.8665,0.8161
65,1.069200e-04,0.344368,0.8639,0.9084,0.8669,0.8164
66,1.020520e-04,0.342610,0.8640,0.9084,0.8672,0.8163
67,9.724553e-05,0.339866,0.8643,0.9086,0.8676,0.8167
68,9.250635e-05,0.339237,0.8641,0.9086,0.8674,0.8164
69,8.784026e-05,0.341807,0.8641,0.9087,0.8673,0.8165
70,8.325294e-05,0.337350,0.8643,0.9087,0.8673,0.8168
71,7.875000e-05,0.337952,0.8646,0.9090,0.8677,0.8172
72,7.433691e-05,0.337418,0.8647,0.9091,0.8680,0.8172
73,7.001905e-05,0.337580,0.8651,0.9091,0.8686,0.8177
74,6.580168e-05,0.335060,0.8651,0.9092,0.8683,0.8179
75,6.168993e-05,0.332299,0.8653,0.9092,0.8684,0.8182
76,5.768883e-05,0.333154,0.8655,0.9093,0.8688,0.8185
77,5.380324e-05,0.333151,0.8656,0.9093,0.8690,0.8185
78,5.003789e-05,0.330017,0.8657,0.9093,0.8692,0.8186
79,4.639738e-05,0.326207,0.8657,0.9093,0.8692,0.8185
80,4.288614e-05,0.329382,0.8658,0.9094,0.8695,0.8186
81,3.950844e-05,0.325133,0.8657,0.9093,0.8692,0.8186
82,3.626841e-05,0.328703,0.8657,0.9092,0.8691,0.8188
83,3.316999e-05,0.324473,0.8656,0.9092,0.8690,0.8188
84,3.021696e-05,0.325945,0.8658,0.9092,0.8693,0.8189
85,2.741291e-05,0.324575,0.8659,0.9093,0.8693,0.8191
86,2.476125e-05,0.320312,0.8659,0.9093,0.8692,0.8190
87,2.226523e-05,0.321655,0.8659,0.9093,0.8692,0.8192
88,1.992788e-05,0.322686,0.8659,0.9093,0.8692,0.8193
89,1.775204e-05,0.323979,0.8659,0.9091,0.8692,0.8194
90,1.574038e-05,0.320553,0.8659,0.9091,0.8692,0.8194
91,1.389534e-05,0.319501,0.8659,0.9091,0.8693,0.8193
92,1.221916e-05,0.321449,0.8660,0.9091,0.8694,0.8194
93,1.071390e-05,0.322724,0.8661,0.9091,0.8696,0.8197
94,9.381380e-06,0.321194,0.8662,0.9091,0.8697,0.8198
95,8.223229e-06,0.322073,0.8662,0.9090,0.8698,0.8199
96,7.240856e-06,0.319613,0.8663,0.9091,0.8699,0.8199
97,6.435460e-06,0.318534,0.8665,0.9091,0.8703,0.8200
98,5.808020e-06,0.322200,0.8666,0.9092,0.8705,0.8201
99,5.359303e-06,0.318563,0.8667,0.9092,0.8707,0.8202
100,5.089853e-06,0.320290,0.8668,0.9092,0.8708,0.8203
