metric,n,mean,std,median,ci95_low,ci95_high
dice_WT,368,0.9028092803568203,0.08105343619412737,0.924528127573055,0.8945278835767081,0.9110906771369325
dice_TC,368,0.8535513643869564,0.16412677218109542,0.9185084406408398,0.8367821934980706,0.8703205352758423
dice_ET,341,0.8124464271986055,0.17962061496871867,0.8755080424661921,0.7933815039684622,0.8315113504287488
hd95_WT,368,8.104594829613747,13.494657449204372,4.0615527629852295,6.725817840062071,9.483371819165423
hd95_TC,368,7.157155808871207,13.072964754601742,3.0,5.821464031831866,8.492847585910548
hd95_ET,341,5.983611002695525,12.866171407288144,1.866025447845459,4.617996202921392,7.349225802469658
