case_id,fold,dice_WT,iou_WT,sens_WT,spec_WT,prec_WT,dice_TC,iou_TC,sens_TC,spec_TC,prec_TC,dice_ET,iou_ET,sens_ET,spec_ET,prec_ET,hd95_WT,hd95_TC,hd95_ET,dice_NCR,dice_ED,dice_ET_channel
BraTS20_Training_001,1,0.9225983156938088,0.8563178702360482,0.8715957712792305,0.9987182554718155,0.9799408089444261,0.9329612635665755,0.8743461991689235,0.9793446798656941,0.998337532778109,0.8907727626950862,0.8801455844440326,0.7859464339452302,0.9414245548266167,0.9982493876206058,0.8263565891472868,7.681145668029785,4.123105525970459,1.4458731412887573,0.8639397132547817,0.8838399648870285,0.8801455844440326
BraTS20_Training_004,1,0.9462281475828186,0.897944033532804,0.9583558784880575,0.9979129599700747,0.9344035271175424,0.9174985611368012,0.8475726019360517,0.8755681818181819,0.9997445362395265,0.9636469754450327,0.8947794163399913,0.8095935142438915,0.9278616595689766,0.9993388433613624,0.8639750060081711,1.7320507764816284,3.073017120361328,2.0,0.739161414086051,0.9397078953647541,0.8947794163399913
BraTS20_Training_006,1,0.9371561682770139,0.8817439969123039,0.9188680600445306,0.998145698380855,0.9561870310024216,0.9250896716637542,0.860620320855615,0.8986018671550453,0.9993930745381868,0.9531864487088367,0.810346303302121,0.6811615056981697,0.9487713953581594,0.9970078590637813,0.707170600537795,3.605551242828369,2.4494898319244385,1.7320507764816284,0.5827703294010572,0.9166102277980241,0.810346303302121
BraTS20_Training_010,1,0.8492986755957518,0.7380704771809128,0.8278004575837782,0.9982215210392092,0.8719432959243946,0.900790033424491,0.819488597097443,0.8477266228195596,0.9999218835085391,0.9609400324149109,0.8805031446540881,0.7865168539325843,0.8218754827746022,0.9999056926936468,0.9481375868829086,4.123105525970459,3.0,2.8284270763397217,0.6259259259259259,0.8224509444964268,0.8805031446540881
BraTS20_Training_016,1,0.907099114765649,0.829992112753335,0.9514737909724897,0.9939721487107438,0.8666790801601341,0.8473166635060818,0.7350819055676984,0.7613309965434983,0.9995378709554258,0.955197898851698,0.5756153709934478,0.40411512401317834,0.9977745376410099,0.9940224619038505,0.4044797013532431,3.605551242828369,5.099019527435303,4.242640495300293,0.034764397905759165,0.8278720802503678,0.5756153709934478
BraTS20_Training_023,1,0.9268543914912984,0.8636799928569834,0.9408617838731641,0.9988221017934822,0.9132579602048765,0.9590858612426209,0.9213880622157337,0.9362661189090494,0.9999099747356661,0.983045770428948,0.8762032085561497,0.7796811801094456,0.8988753771600988,0.9994692317923808,0.8546466139268017,1.4142135381698608,1.2278376817703247,1.4142135381698608,0.8741721854304636,0.8694416820571104,0.8762032085561497
BraTS20_Training_026,1,0.940019435499457,0.8868270485151668,0.9559789168299948,0.995979939659134,0.9245840718389727,0.8776892937465521,0.7820377092155677,0.8886374702832756,0.9986958553191373,0.8670076011625307,0.7213825471322886,0.5641895044638691,0.7660500084473729,0.997685754344094,0.6816371016235718,3.1622776985168457,3.0,4.242640495300293,0.5940332141282516,0.9122937115737245,0.7213825471322886
BraTS20_Training_031,1,0.9026661549575582,0.822599393097773,0.9127943476126882,0.9972437665539707,0.8927602567680715,0.9237877741781295,0.8583695223055665,0.90823963518641,0.9995290729056653,0.9398775216138329,0.8811960195268495,0.7876232431298511,0.8491496290935407,0.9995136159374004,0.9157560975609756,6.4031243324279785,1.7320507764816284,1.4142135381698608,0.7820448159089272,0.8418767657853965,0.8811960195268495
BraTS20_Training_034,1,0.9281364826652589,0.8659092017359926,0.9695652648706496,0.9962127009605753,0.8901030597104704,0.9389000401445202,0.8848365617433414,0.909836612204068,0.9995678339230989,0.9698815165876777,0.8448590114720703,0.7313903842583999,0.8063855914858781,0.9991541602820682,0.8871875703670344,2.2360680103302,3.316624879837036,2.2360680103302,0.900715166461159,0.857686102788661,0.8448590114720703
BraTS20_Training_040,1,0.9332748914651019,0.8748972757816824,0.912775438309984,0.9978264854301615,0.9547162674930759,0.9596673075315556,0.9224619340323812,0.9488996797189793,0.9996079999660851,0.9706821112261937,0.8987894671159367,0.8161831368993654,0.8937701662943659,0.9992465835613582,0.9038654618473896,2.4494898319244385,1.7320507764816284,1.4142135381698608,0.9362582990432434,0.9007727227210521,0.8987894671159367
BraTS20_Training_043,1,0.8403132266082262,0.7246036135693216,0.8400438162921798,0.9982936545295703,0.8405828097847882,0.8570468896950154,0.7498530621840837,0.8277965221905009,0.9997727225006994,0.8884401114206129,0.66027496382055,0.4928436402916554,0.6955030487804879,0.9996942830072352,0.6284435261707989,6.324555397033691,3.0,3.1622776985168457,0.7755930754434708,0.7898178421298458,0.66027496382055
BraTS20_Training_046,1,0.6630144133568121,0.49590243902439024,0.5594628804138463,0.9985659229046557,0.8136054421768707,0.3884722834877224,0.24105839416058394,0.8690789473684211,0.9987937508985947,0.25014201855709145,0.5222248080055852,0.35338582677165353,0.8268238761974944,0.9994462494978019,0.3816326530612245,13.34166431427002,12.0,12.369317054748535,0.06070287539936102,0.6166767526727917,0.5222248080055852
BraTS20_Training_047,1,0.9058687709025125,0.8279342978353095,0.8604633635308482,0.9984930721209381,0.9563330848292442,0.9469888033927166,0.8993150371466492,0.9470648716383382,0.9990636842057549,0.9469127473657157,0.8629889610578744,0.7589978738120244,0.9258773163338646,0.9980236160466871,0.8081003681985545,8.66025447845459,2.2360680103302,1.4142135381698608,0.8633498101583208,0.8034430586150939,0.8629889610578744
